_id,Crash_Year,Crash_Police_Region,Crash_Severity,Involving_Motorcycle_Moped,Involving_Truck,Involving_Bus,Count_Crashes,Count_Casualty_Fatality,Count_Casualty_Hospitalised,Count_Casualty_MedicallyTreated,Count_Casualty_MinorInjury,Count_Casualty_All
40,2001,Central,Medical treatment,No,Yes,No,23,0,0,27,1,28
41,2001,Central,Medical treatment,Yes,No,No,49,0,0,50,0,50
42,2001,Central,Minor injury,No,No,No,212,0,0,0,247,247
43,2001,Central,Minor injury,No,No,Yes,4,0,0,0,6,6
44,2001,Central,Minor injury,No,Yes,No,16,0,0,0,18,18
45,2001,Central,Minor injury,Yes,No,No,17,0,0,0,19,19
46,2001,Central,Property damage only,No,No,No,741,0,0,0,0,0
47,2001,Central,Property damage only,No,No,Yes,1,0,0,0,0,0
48,2001,Central,Property damage only,No,Yes,No,71,0,0,0,0,0
49,2001,Central,Property damage only,Yes,No,No,5,0,0,0,0,0
50,2001,Central,Property damage only,Yes,Yes,No,1,0,0,0,0,0
51,2001,Far Northern,Fatal,No,No,No,16,21,15,3,0,39
52,2001,Far Northern,Fatal,No,No,Yes,1,1,0,0,0,1
53,2001,Far Northern,Fatal,No,Yes,No,6,6,2,0,0,8
54,2001,Far Northern,Fatal,Yes,No,No,1,1,1,0,0,2
55,2001,Far Northern,Hospitalisation,No,No,No,215,0,280,35,25,340
56,2001,Far Northern,Hospitalisation,No,No,Yes,7,0,10,17,0,27
57,2001,Far Northern,Hospitalisation,No,Yes,No,15,0,18,2,1,21
58,2001,Far Northern,Hospitalisation,Yes,No,No,49,0,54,3,2,59
59,2001,Far Northern,Hospitalisation,Yes,No,Yes,1,0,1,0,0,1
60,2001,Far Northern,Hospitalisation,Yes,Yes,No,1,0,1,0,0,1
61,2001,Far Northern,Medical treatment,No,No,No,223,0,0,270,16,286
62,2001,Far Northern,Medical treatment,No,No,Yes,7,0,0,8,2,10
63,2001,Far Northern,Medical treatment,No,Yes,No,7,0,0,7,0,7
64,2001,Far Northern,Medical treatment,Yes,No,No,32,0,0,34,0,34
65,2001,Far Northern,Medical treatment,Yes,No,Yes,1,0,0,1,0,1
66,2001,Far Northern,Minor injury,No,No,No,144,0,0,0,174,174
67,2001,Far Northern,Minor injury,No,No,Yes,3,0,0,0,3,3
68,2001,Far Northern,Minor injury,No,Yes,No,6,0,0,0,6,6
69,2001,Far Northern,Minor injury,No,Yes,Yes,1,0,0,0,1,1
70,2001,Far Northern,Minor injury,Yes,No,No,13,0,0,0,15,15
71,2001,Far Northern,Minor injury,Yes,No,Yes,1,0,0,0,1,1
72,2001,Far Northern,Property damage only,No,No,No,506,0,0,0,0,0
73,2001,Far Northern,Property damage only,No,No,Yes,13,0,0,0,0,0
74,2001,Far Northern,Property damage only,No,Yes,No,39,0,0,0,0,0
75,2001,Far Northern,Property damage only,Yes,No,No,4,0,0,0,0,0
76,2001,Far Northern,Property damage only,Yes,No,Yes,1,0,0,0,0,0
77,2001,North Coast,Fatal,No,No,No,50,52,28,12,1,93
78,2001,North Coast,Fatal,No,Yes,No,12,14,5,0,3,22
79,2001,North Coast,Fatal,Yes,No,No,3,3,0,0,0,3
80,2001,North Coast,Hospitalisation,No,No,No,603,0,788,102,43,933
81,2001,North Coast,Hospitalisation,No,No,Yes,3,0,3,3,0,6
82,2001,North Coast,Hospitalisation,No,Yes,No,37,0,47,5,1,53
83,2001,North Coast,Hospitalisation,Yes,No,No,101,0,104,4,6,114
84,2001,North Coast,Hospitalisation,Yes,Yes,No,2,0,3,0,0,3
85,2001,North Coast,Medical treatment,No,No,No,904,0,0,1142,91,1233
86,2001,North Coast,Medical treatment,No,No,Yes,19,0,0,30,6,36
87,2001,North Coast,Medical treatment,No,Yes,No,50,0,0,58,2,60
88,2001,North Coast,Medical treatment,No,Yes,Yes,1,0,0,1,0,1
89,2001,North Coast,Medical treatment,Yes,No,No,95,0,0,100,4,104
90,2001,North Coast,Medical treatment,Yes,Yes,No,1,0,0,1,0,1
91,2001,North Coast,Minor injury,No,No,No,453,0,0,0,537,537
92,2001,North Coast,Minor injury,No,No,Yes,2,0,0,0,2,2
93,2001,North Coast,Minor injury,No,Yes,No,28,0,0,0,34,34
94,2001,North Coast,Minor injury,Yes,No,No,24,0,0,0,25,25
95,2001,North Coast,Minor injury,Yes,Yes,No,1,0,0,0,1,1
96,2001,North Coast,Property damage only,No,No,No,1426,0,0,0,0,0
97,2001,North Coast,Property damage only,No,No,Yes,8,0,0,0,0,0
98,2001,North Coast,Property damage only,No,Yes,No,97,0,0,0,0,0
99,2001,North Coast,Property damage only,Yes,No,No,4,0,0,0,0,0
100,2001,Northern,Fatal,No,No,No,11,13,8,0,0,21
101,2001,Northern,Fatal,No,No,Yes,1,1,0,0,0,1
102,2001,Northern,Fatal,No,Yes,No,4,4,0,0,0,4
103,2001,Northern,Fatal,Yes,No,No,1,1,0,0,0,1
104,2001,Northern,Hospitalisation,No,No,No,187,0,232,17,10,259
105,2001,Northern,Hospitalisation,No,No,Yes,3,0,3,1,0,4
106,2001,Northern,Hospitalisation,No,Yes,No,13,0,15,4,0,19
107,2001,Northern,Hospitalisation,Yes,No,No,48,0,52,2,1,55
108,2001,Northern,Medical treatment,No,No,No,227,0,0,287,17,304
109,2001,Northern,Medical treatment,No,No,Yes,2,0,0,2,0,2
110,2001,Northern,Medical treatment,No,Yes,No,17,0,0,20,0,20
111,2001,Northern,Medical treatment,Yes,No,No,22,0,0,24,0,24
112,2001,Northern,Medical treatment,Yes,Yes,No,1,0,0,1,0,1
113,2001,Northern,Minor injury,No,No,No,121,0,0,0,152,152
114,2001,Northern,Minor injury,No,No,Yes,2,0,0,0,2,2
115,2001,Northern,Minor injury,No,Yes,No,6,0,0,0,9,9
116,2001,Northern,Minor injury,Yes,No,No,12,0,0,0,12,12
117,2001,Northern,Property damage only,No,No,No,419,0,0,0,0,0
118,2001,Northern,Property damage only,No,No,Yes,3,0,0,0,0,0
119,2001,Northern,Property damage only,No,Yes,No,41,0,0,0,0,0
120,2001,Northern,Property damage only,Yes,No,No,2,0,0,0,0,0
121,2001,South Eastern,Fatal,No,No,No,32,33,28,10,2,73
122,2001,South Eastern,Fatal,No,Yes,No,4,4,3,0,0,7
123,2001,South Eastern,Fatal,Yes,No,No,7,7,1,3,0,11
124,2001,South Eastern,Hospitalisation,No,No,No,623,0,796,93,53,942
125,2001,South Eastern,Hospitalisation,No,No,Yes,15,0,18,11,3,32
126,2001,South Eastern,Hospitalisation,No,Yes,No,39,0,48,3,1,52
127,2001,South Eastern,Hospitalisation,Yes,No,No,100,0,103,5,3,111
128,2001,South Eastern,Hospitalisation,Yes,No,Yes,1,0,1,1,0,2
129,2001,South Eastern,Hospitalisation,Yes,Yes,No,1,0,1,0,0,1
130,2001,South Eastern,Medical treatment,No,No,No,964,0,0,1211,59,1270
131,2001,South Eastern,Medical treatment,No,No,Yes,33,0,0,62,15,77
132,2001,South Eastern,Medical treatment,No,Yes,No,37,0,0,39,3,42
133,2001,South Eastern,Medical treatment,Yes,No,No,75,0,0,81,5,86
134,2001,South Eastern,Medical treatment,Yes,Yes,No,2,0,0,2,0,2
135,2001,South Eastern,Minor injury,No,No,No,529,0,0,0,649,649
136,2001,South Eastern,Minor injury,No,No,Yes,12,0,0,0,13,13
137,2001,South Eastern,Minor injury,No,Yes,No,16,0,0,0,23,23
138,2001,South Eastern,Minor injury,Yes,No,No,21,0,0,0,22,22
139,2001,South Eastern,Property damage only,No,No,No,1050,0,0,0,0,0
140,2001,South Eastern,Property damage only,No,No,Yes,16,0,0,0,0,0
141,2001,South Eastern,Property damage only,No,Yes,No,55,0,0,0,0,0
142,2001,South Eastern,Property damage only,No,Yes,Yes,1,0,0,0,0,0
143,2001,South Eastern,Property damage only,Yes,No,No,1,0,0,0,0,0
144,2001,Southern,Fatal,No,No,No,42,51,30,2,6,89
145,2001,Southern,Fatal,No,No,Yes,1,1,0,1,1,3
146,2001,Southern,Fatal,No,Yes,No,9,9,0,0,0,9
147,2001,Southern,Fatal,Yes,No,No,8,8,0,0,0,8
148,2001,Southern,Hospitalisation,No,No,No,417,0,521,79,26,626
149,2001,Southern,Hospitalisation,No,No,Yes,8,0,8,3,2,13
150,2001,Southern,Hospitalisation,No,Yes,No,52,0,60,6,3,69
151,2001,Southern,Hospitalisation,Yes,No,No,58,0,61,2,1,64
152,2001,Southern,Hospitalisation,Yes,No,Yes,1,0,1,0,0,1
153,2001,Southern,Hospitalisation,Yes,Yes,No,1,0,1,0,0,1
154,2001,Southern,Medical treatment,No,No,No,507,0,0,617,42,659
155,2001,Southern,Medical treatment,No,No,Yes,5,0,0,12,3,15
156,2001,Southern,Medical treatment,No,Yes,No,42,0,0,49,3,52
157,2001,Southern,Medical treatment,Yes,No,No,37,0,0,39,1,40
158,2001,Southern,Minor injury,No,No,No,308,0,0,0,376,376
159,2001,Southern,Minor injury,No,No,Yes,5,0,0,0,8,8
160,2001,Southern,Minor injury,No,Yes,No,31,0,0,0,35,35
161,2001,Southern,Minor injury,Yes,No,No,13,0,0,0,14,14
162,2001,Southern,Minor injury,Yes,No,Yes,1,0,0,0,1,1
163,2001,Southern,Property damage only,No,No,No,1087,0,0,0,0,0
164,2001,Southern,Property damage only,No,No,Yes,5,0,0,0,0,0
165,2001,Southern,Property damage only,No,Yes,No,119,0,0,0,0,0
166,2001,Southern,Property damage only,Yes,No,No,6,0,0,0,0,0
167,2001,Unknown,Hospitalisation,No,No,No,52,0,72,18,4,94
168,2001,Unknown,Hospitalisation,No,No,Yes,2,0,4,8,0,12
169,2001,Unknown,Hospitalisation,No,Yes,No,3,0,3,1,0,4
170,2001,Unknown,Hospitalisation,Yes,No,No,9,0,10,0,0,10
171,2001,Unknown,Medical treatment,No,No,No,57,0,0,72,2,74
172,2001,Unknown,Medical treatment,No,No,Yes,3,0,0,3,0,3
173,2001,Unknown,Medical treatment,No,Yes,No,3,0,0,3,0,3
174,2001,Unknown,Medical treatment,Yes,No,No,2,0,0,2,0,2
175,2001,Unknown,Minor injury,No,No,No,24,0,0,0,26,26
176,2001,Unknown,Minor injury,No,No,Yes,2,0,0,0,3,3
177,2001,Unknown,Minor injury,No,Yes,No,3,0,0,0,3,3
178,2001,Unknown,Minor injury,Yes,No,No,2,0,0,0,2,2
179,2001,Unknown,Property damage only,No,No,No,56,0,0,0,0,0
180,2001,Unknown,Property damage only,No,Yes,No,4,0,0,0,0,0
181,2002,Brisbane,Fatal,No,No,No,23,26,9,1,2,38
182,2002,Brisbane,Fatal,No,No,Yes,1,1,0,0,1,2
183,2002,Brisbane,Fatal,No,Yes,No,4,4,2,0,0,6
184,2002,Brisbane,Fatal,Yes,No,No,7,7,1,1,0,9
185,2002,Brisbane,Fatal,Yes,Yes,No,2,2,0,0,0,2
186,2002,Brisbane,Hospitalisation,No,No,No,935,0,1140,149,89,1378
187,2002,Brisbane,Hospitalisation,No,No,Yes,35,0,43,14,3,60
188,2002,Brisbane,Hospitalisation,No,Yes,No,77,0,84,7,3,94
189,2002,Brisbane,Hospitalisation,No,Yes,Yes,2,0,2,0,0,2
190,2002,Brisbane,Hospitalisation,Yes,No,No,189,0,197,6,7,210
191,2002,Brisbane,Hospitalisation,Yes,No,Yes,1,0,1,0,0,1
192,2002,Brisbane,Hospitalisation,Yes,Yes,No,7,0,7,0,0,7
193,2002,Brisbane,Medical treatment,No,No,No,1715,0,0,2024,130,2154
194,2002,Brisbane,Medical treatment,No,No,Yes,40,0,0,50,4,54
195,2002,Brisbane,Medical treatment,No,Yes,No,112,0,0,132,7,139
196,2002,Brisbane,Medical treatment,No,Yes,Yes,3,0,0,4,2,6
197,2002,Brisbane,Medical treatment,Yes,No,No,134,0,0,140,1,141
198,2002,Brisbane,Medical treatment,Yes,No,Yes,2,0,0,2,0,2
199,2002,Brisbane,Medical treatment,Yes,Yes,No,3,0,0,3,0,3
200,2002,Brisbane,Minor injury,No,No,No,1032,0,0,0,1252,1252
201,2002,Brisbane,Minor injury,No,No,Yes,21,0,0,0,30,30
202,2002,Brisbane,Minor injury,No,Yes,No,77,0,0,0,82,82
203,2002,Brisbane,Minor injury,Yes,No,No,78,0,0,0,80,80
204,2002,Brisbane,Property damage only,No,No,No,2107,0,0,0,0,0
205,2002,Brisbane,Property damage only,No,No,Yes,25,0,0,0,0,0
206,2002,Brisbane,Property damage only,No,Yes,No,217,0,0,0,0,0
207,2002,Brisbane,Property damage only,Yes,No,No,6,0,0,0,0,0
208,2002,Central,Fatal,No,No,No,27,34,29,3,0,66
209,2002,Central,Fatal,No,No,Yes,1,2,1,0,0,3
210,2002,Central,Fatal,No,Yes,No,7,10,3,2,0,15
211,2002,Central,Fatal,Yes,No,No,2,2,0,0,0,2
212,2002,Central,Hospitalisation,No,No,No,341,0,424,64,21,509
213,2002,Central,Hospitalisation,No,No,Yes,6,0,7,1,4,12
214,2002,Central,Hospitalisation,No,Yes,No,29,0,36,7,5,48
215,2002,Central,Hospitalisation,Yes,No,No,76,0,82,5,4,91
216,2002,Central,Hospitalisation,Yes,Yes,No,1,0,1,0,0,1
217,2002,Central,Medical treatment,No,No,No,329,0,0,401,27,428
218,2002,Central,Medical treatment,No,No,Yes,5,0,0,5,0,5
219,2002,Central,Medical treatment,No,Yes,No,30,0,0,37,5,42
220,2002,Central,Medical treatment,Yes,No,No,45,0,0,49,2,51
221,2002,Central,Minor injury,No,No,No,225,0,0,0,259,259
222,2002,Central,Minor injury,No,No,Yes,4,0,0,0,4,4
223,2002,Central,Minor injury,No,Yes,No,12,0,0,0,13,13
224,2002,Central,Minor injury,Yes,No,No,22,0,0,0,23,23
225,2002,Central,Property damage only,No,No,No,805,0,0,0,0,0
226,2002,Central,Property damage only,No,No,Yes,3,0,0,0,0,0
227,2002,Central,Property damage only,No,Yes,No,74,0,0,0,0,0
228,2002,Far Northern,Fatal,No,No,No,17,18,15,3,1,37
229,2002,Far Northern,Fatal,No,No,Yes,2,2,1,0,0,3
230,2002,Far Northern,Fatal,No,Yes,No,3,4,2,1,0,7
231,2002,Far Northern,Fatal,Yes,No,No,1,1,0,0,0,1
232,2002,Far Northern,Hospitalisation,No,No,No,222,0,287,45,22,354
233,2002,Far Northern,Hospitalisation,No,No,Yes,2,0,5,0,1,6
234,2002,Far Northern,Hospitalisation,No,Yes,No,16,0,16,0,0,16
235,2002,Far Northern,Hospitalisation,Yes,No,No,62,0,67,2,1,70
236,2002,Far Northern,Hospitalisation,Yes,No,Yes,1,0,1,0,0,1
237,2002,Far Northern,Hospitalisation,Yes,Yes,No,2,0,2,0,0,2
238,2002,Far Northern,Medical treatment,No,No,No,245,0,0,303,18,321
239,2002,Far Northern,Medical treatment,No,No,Yes,5,0,0,14,0,14
240,2002,Far Northern,Medical treatment,No,Yes,No,6,0,0,10,0,10
241,2002,Far Northern,Medical treatment,Yes,No,No,23,0,0,25,1,26
242,2002,Far Northern,Medical treatment,Yes,Yes,No,2,0,0,2,0,2
243,2002,Far Northern,Minor injury,No,No,No,156,0,0,0,189,189
244,2002,Far Northern,Minor injury,No,No,Yes,6,0,0,0,9,9
245,2002,Far Northern,Minor injury,No,Yes,No,4,0,0,0,4,4
246,2002,Far Northern,Minor injury,No,Yes,Yes,1,0,0,0,1,1
247,2002,Far Northern,Minor injury,Yes,No,No,20,0,0,0,21,21
248,2002,Far Northern,Property damage only,No,No,No,513,0,0,0,0,0
249,2002,Far Northern,Property damage only,No,No,Yes,11,0,0,0,0,0
250,2002,Far Northern,Property damage only,No,Yes,No,40,0,0,0,0,0
251,2002,Far Northern,Property damage only,Yes,No,No,2,0,0,0,0,0
252,2002,North Coast,Fatal,No,No,No,45,50,43,7,3,103
253,2002,North Coast,Fatal,No,Yes,No,8,8,1,2,1,12
254,2002,North Coast,Fatal,Yes,No,No,15,16,2,2,3,23
255,2002,North Coast,Fatal,Yes,Yes,No,1,1,0,0,0,1
256,2002,North Coast,Hospitalisation,No,No,No,627,0,798,121,58,977
257,2002,North Coast,Hospitalisation,No,No,Yes,7,0,7,0,0,7
258,2002,North Coast,Hospitalisation,No,Yes,No,46,0,59,11,8,78
259,2002,North Coast,Hospitalisation,Yes,No,No,106,0,114,6,1,121
260,2002,North Coast,Hospitalisation,Yes,Yes,No,1,0,1,0,0,1
261,2002,North Coast,Medical treatment,No,No,No,853,0,0,1060,78,1138
262,2002,North Coast,Medical treatment,No,No,Yes,15,0,0,43,10,53
263,2002,North Coast,Medical treatment,No,Yes,No,56,0,0,68,4,72
264,2002,North Coast,Medical treatment,Yes,No,No,87,0,0,95,2,97
265,2002,North Coast,Medical treatment,Yes,Yes,No,1,0,0,1,0,1
266,2002,North Coast,Minor injury,No,No,No,472,0,0,0,577,577
267,2002,North Coast,Minor injury,No,No,Yes,7,0,0,0,9,9
268,2002,North Coast,Minor injury,No,Yes,No,30,0,0,0,35,35
269,2002,North Coast,Minor injury,Yes,No,No,44,0,0,0,47,47
270,2002,North Coast,Property damage only,No,No,No,1547,0,0,0,0,0
271,2002,North Coast,Property damage only,No,No,Yes,14,0,0,0,0,0
272,2002,North Coast,Property damage only,No,Yes,No,93,0,0,0,0,0
273,2002,North Coast,Property damage only,Yes,No,No,4,0,0,0,0,0
274,2002,Northern,Fatal,No,No,No,14,15,12,2,1,30
275,2002,Northern,Fatal,No,Yes,No,3,3,4,1,0,8
276,2002,Northern,Fatal,Yes,No,No,2,2,1,1,0,4
277,2002,Northern,Fatal,Yes,Yes,No,1,1,0,0,0,1
278,2002,Northern,Hospitalisation,No,No,No,201,0,247,39,16,302
279,2002,Northern,Hospitalisation,No,No,Yes,4,0,6,1,0,7
280,2002,Northern,Hospitalisation,No,Yes,No,20,0,21,5,3,29
281,2002,Northern,Hospitalisation,Yes,No,No,50,0,51,2,2,55
282,2002,Northern,Hospitalisation,Yes,Yes,No,2,0,2,0,0,2
283,2002,Northern,Medical treatment,No,No,No,222,0,0,276,20,296
284,2002,Northern,Medical treatment,No,No,Yes,4,0,0,4,0,4
285,2002,Northern,Medical treatment,No,Yes,No,9,0,0,11,1,12
286,2002,Northern,Medical treatment,Yes,No,No,28,0,0,28,1,29
287,2002,Northern,Medical treatment,Yes,Yes,No,1,0,0,1,0,1
288,2002,Northern,Minor injury,No,No,No,121,0,0,0,143,143
289,2002,Northern,Minor injury,No,Yes,No,11,0,0,0,19,19
290,2002,Northern,Minor injury,Yes,No,No,15,0,0,0,16,16
291,2002,Northern,Property damage only,No,No,No,477,0,0,0,0,0
292,2002,Northern,Property damage only,No,No,Yes,3,0,0,0,0,0
293,2002,Northern,Property damage only,No,Yes,No,47,0,0,0,0,0
294,2002,Northern,Property damage only,Yes,No,No,1,0,0,0,0,0
295,2002,South Eastern,Fatal,No,No,No,29,34,15,6,1,56
296,2002,South Eastern,Fatal,No,No,Yes,1,1,0,0,0,1
297,2002,South Eastern,Fatal,No,Yes,No,3,3,0,0,0,3
298,2002,South Eastern,Fatal,Yes,No,No,13,13,3,2,0,18
299,2002,South Eastern,Fatal,Yes,No,Yes,1,1,0,0,0,1
300,2002,South Eastern,Hospitalisation,No,No,No,636,0,794,84,33,911
301,2002,South Eastern,Hospitalisation,No,No,Yes,13,0,15,2,3,20
302,2002,South Eastern,Hospitalisation,No,Yes,No,30,0,33,5,6,44
303,2002,South Eastern,Hospitalisation,No,Yes,Yes,1,0,1,0,0,1
304,2002,South Eastern,Hospitalisation,Yes,No,No,121,0,132,9,2,143
305,2002,South Eastern,Hospitalisation,Yes,Yes,No,1,0,1,0,0,1
306,2002,South Eastern,Medical treatment,No,No,No,990,0,0,1224,77,1301
307,2002,South Eastern,Medical treatment,No,No,Yes,23,0,0,34,8,42
308,2002,South Eastern,Medical treatment,No,Yes,No,44,0,0,52,3,55
309,2002,South Eastern,Medical treatment,No,Yes,Yes,1,0,0,1,1,2
310,2002,South Eastern,Medical treatment,Yes,No,No,72,0,0,77,3,80
311,2002,South Eastern,Medical treatment,Yes,No,Yes,1,0,0,1,0,1
312,2002,South Eastern,Medical treatment,Yes,Yes,No,4,0,0,4,0,4
313,2002,South Eastern,Minor injury,No,No,No,519,0,0,0,633,633
314,2002,South Eastern,Minor injury,No,No,Yes,10,0,0,0,13,13
315,2002,South Eastern,Minor injury,No,Yes,No,27,0,0,0,33,33
316,2002,South Eastern,Minor injury,Yes,No,No,31,0,0,0,33,33
317,2002,South Eastern,Property damage only,No,No,No,1131,0,0,0,0,0
318,2002,South Eastern,Property damage only,No,No,Yes,12,0,0,0,0,0
319,2002,South Eastern,Property damage only,No,Yes,No,77,0,0,0,0,0
320,2002,South Eastern,Property damage only,Yes,No,No,2,0,0,0,0,0
321,2002,Southern,Fatal,No,No,No,31,41,24,3,1,69
322,2002,Southern,Fatal,No,Yes,No,10,11,2,2,0,15
323,2002,Southern,Fatal,Yes,No,No,7,7,1,0,0,8
324,2002,Southern,Fatal,Yes,Yes,No,2,2,0,0,0,2
325,2002,Southern,Hospitalisation,No,No,No,431,0,543,83,41,667
326,2002,Southern,Hospitalisation,No,No,Yes,4,0,8,4,0,12
327,2002,Southern,Hospitalisation,No,Yes,No,58,0,68,6,1,75
328,2002,Southern,Hospitalisation,No,Yes,Yes,1,0,2,0,0,2
329,2002,Southern,Hospitalisation,Yes,No,No,76,0,80,4,2,86
330,2002,Southern,Hospitalisation,Yes,Yes,No,2,0,2,0,0,2
331,2002,Southern,Medical treatment,No,No,No,487,0,0,621,38,659
332,2002,Southern,Medical treatment,No,No,Yes,5,0,0,22,0,22
333,2002,Southern,Medical treatment,No,Yes,No,54,0,0,62,4,66
334,2002,Southern,Medical treatment,Yes,No,No,35,0,0,37,1,38
335,2002,Southern,Minor injury,No,No,No,314,0,0,0,375,375
336,2002,Southern,Minor injury,No,No,Yes,6,0,0,0,7,7
337,2002,Southern,Minor injury,No,Yes,No,30,0,0,0,34,34
338,2002,Southern,Minor injury,Yes,No,No,23,0,0,0,25,25
339,2002,Southern,Minor injury,Yes,Yes,No,1,0,0,0,1,1
340,2002,Southern,Property damage only,No,No,No,1083,0,0,0,0,0
341,2002,Southern,Property damage only,No,No,Yes,12,0,0,0,0,0
342,2002,Southern,Property damage only,No,Yes,No,140,0,0,0,0,0
343,2002,Southern,Property damage only,Yes,No,No,4,0,0,0,0,0
344,2002,Unknown,Hospitalisation,No,No,No,22,0,30,7,1,38
345,2002,Unknown,Hospitalisation,No,Yes,No,2,0,2,0,0,2
346,2002,Unknown,Hospitalisation,Yes,No,No,8,0,10,0,0,10
347,2002,Unknown,Medical treatment,No,No,No,26,0,0,29,0,29
348,2002,Unknown,Medical treatment,No,No,Yes,2,0,0,2,0,2
349,2002,Unknown,Medical treatment,No,Yes,No,4,0,0,4,0,4
350,2002,Unknown,Medical treatment,Yes,No,No,6,0,0,6,0,6
351,2002,Unknown,Minor injury,No,No,No,12,0,0,0,14,14
352,2002,Unknown,Minor injury,No,No,Yes,1,0,0,0,1,1
353,2002,Unknown,Minor injury,No,Yes,No,2,0,0,0,4,4
354,2002,Unknown,Minor injury,Yes,No,No,1,0,0,0,1,1
355,2002,Unknown,Property damage only,No,No,No,41,0,0,0,0,0
356,2002,Unknown,Property damage only,No,Yes,No,2,0,0,0,0,0
357,2002,Unknown,Property damage only,Yes,No,No,2,0,0,0,0,0
358,2003,Brisbane,Fatal,No,No,No,31,31,8,7,0,46
359,2003,Brisbane,Fatal,No,No,Yes,2,2,1,0,0,3
360,2003,Brisbane,Fatal,No,Yes,No,12,12,4,1,1,18
361,2003,Brisbane,Fatal,Yes,No,No,8,8,1,1,1,11
362,2003,Brisbane,Fatal,Yes,Yes,No,1,1,0,0,0,1
363,2003,Brisbane,Hospitalisation,No,No,No,965,0,1167,144,67,1378
364,2003,Brisbane,Hospitalisation,No,No,Yes,21,0,27,11,0,38
365,2003,Brisbane,Hospitalisation,No,Yes,No,92,0,111,6,10,127
366,2003,Brisbane,Hospitalisation,No,Yes,Yes,1,0,1,0,0,1
367,2003,Brisbane,Hospitalisation,Yes,No,No,172,0,177,3,7,187
368,2003,Brisbane,Hospitalisation,Yes,No,Yes,1,0,1,0,0,1
369,2003,Brisbane,Hospitalisation,Yes,Yes,No,7,0,7,0,0,7
370,2003,Brisbane,Medical treatment,No,No,No,1664,0,0,2026,145,2171
371,2003,Brisbane,Medical treatment,No,No,Yes,39,0,0,44,4,48
372,2003,Brisbane,Medical treatment,No,Yes,No,137,0,0,159,5,164
373,2003,Brisbane,Medical treatment,No,Yes,Yes,3,0,0,5,3,8
374,2003,Brisbane,Medical treatment,Yes,No,No,138,0,0,145,4,149
375,2003,Brisbane,Medical treatment,Yes,No,Yes,1,0,0,1,0,1
